"Anna Johansson","Fru talman! Sten Bergheden har frågat inrikesministern vilka åtgärder statsrådet ämnar vidta för att minska rattfulla förare vid våra hamnar. Sten Bergheden har även frågat hur statsrådet ämnar bidra till att alkobommar på permanent basis kan införas vid alla våra hamnar och gränsstationer. Arbetet inom regeringen är så fördelat att det är jag som ska svara på interpellationen. Jag delar interpellantens uppfattning om att det är viktigt med säkra förare. Den försöksverksamhet med alkobommar som genomförts i ett flertal svenska hamnar har visat på hur effektiva dessa kan vara. På tre veckor stoppades 31 påverkade bilförare i Stockholms Frihamn av alkobommar. De myndigheter och ideella organisationer som arbetat med försöken har även de gett positiva signaler.  Jag är därför mycket nöjd över att försöksverksamheten med alkobommar i Stockholms Frihamn nu har förlängts över första halvåret 2015. Jag arbetar gärna vidare tillsammans med alla berörda aktörer. Det finns dock flera överväganden som behöver göras innan det kan bli aktuellt att överväga några permanenta alkobommar. Försöket som pågår i Stockholm utvärderas just nu, och jag ser fram emot att ta del av de första slutsatserna av den rapporten.  Regeringen har för avsikt att arbeta aktivt för att öka trafiksäkerheten. Nollvisionen, som tjänat Sverige väl, är och förblir en viktig del av transportpolitiken. Regeringen kommer att intensifiera arbetet för ökad säkerhet och trygghet på vägarna och i transportsektorn i stort.  ","S"
"Sten Bergheden","Fru talman! Jag tackar ministern för svaret, även om jag hade önskat att inrikesministern hade svarat med tanke på att just kontrollen av alkohol och påverkade chaufförer vilar väldigt tungt på polisen. Det är deras ansvar att arbeta med den frågan för att undanröja problemet. Varje dag åker onyktra chaufförer från våra hamnar ut på våra vägar. Det rör sig om personbilar, bussar och lastbilar. Lastbilar på kanske 60 ton körs av onyktra personer som på ett enkelt sätt hade kunnat stoppas i våra hamnar och vid våra gränsstationer. Statsrådet och regeringen har ju självklart ett huvudansvar för detta.  Vi från Alliansen startade upp försöket för att sedan kunna permanenta det både i våra hamnar och vid våra gränsstationer. Försöket i Göteborg pågick tidigare i 17 veckor, och det har gjorts ungefär 9 000 kontroller. Nu pågår det, efter förlängning, i Stockholms Frihamn. Vi tog initiativ till att pröva verksamheten redan 2010, för att ge hamnarna möjlighet att sätta upp detta tillsammans med polisen, MHF, Kustbevakningen, Tullverket, Trafikverket och Servotek.  I och med att vi i det läget var överens om att vi ville ha bommarna permanentade hade vi förväntat oss att regeringen, nu när den kom till makten, självklart skulle ta initiativ till att försöka få in stationerna och alkotesten på all den trafik som rullar in över våra gränser. I stället väljer regeringen att gå vidare med en ny försöksperiod och en förlängning av den tidigare försöksperioden.  Ministern tar i sitt svar upp, fru talman, just biten om att man ska göra vissa överväganden. Då blir följaktligen frågan från mig: Vad är det för överväganden statsrådet och regeringen funderar på? Vi har sett resultaten. Vi har stoppat en hel del av de onyktra chaufförerna från att komma in i landet, och alla är överens om att detta skulle vara ett bra sätt att minska antalet onyktra chaufförer på våra vägar. Ändå har man beslutat att vänta på vissa överväganden, och jag hoppas att ministern har något bra svar på vilka överväganden man väntar på. Fru talman! Vad är det för info och utvärdering som saknas? Vad är planeringen framåt? När kommer vi att få se det här permanentat i våra hamnar och vid våra gränsstationer? Är det i år, nästa år eller under mandatperioden regeringen har tänkt planera in stationerna? När kommer besluten? Detta frågar sig såväl de som håller på med försöksverksamheten som lastbilsnäringen och många av våra motorintresseorganisationer. Man vill nämligen ha reda på hur man får stopp på onyktra chaufförer på våra vägar. Jag väntar mig alltså svar på frågan när och hur försöket börjar permanentas och vi får se verkstad ute i våra hamnar, fru talman.  ","M"
"Anna Johansson","Fru talman! Själva poängen med att inleda en försöksverksamhet är ju att man vill testa ett oprövat system för att se om det ger de effekter man hoppas på. Innan man tar ställning till om en försöksverksamhet ska permanentas bör man ha säkerställt att det just har gett de positiva effekterna. När det gäller de här försöken har man prövat dem på lite olika sätt, i lite olika omfattning och med lite olika typer av trafik. Den preliminära slutsatsen är att det har fungerat väldigt väl, men slutrapporten där man får en samlad bild har inte kommit än. Den kommer i februari, och jag ser mycket fram emot att ta del av den för att kunna ta frågan vidare.  Det är också så att vi befinner oss i ett statsfinansiellt ganska ansträngt läge. Det där som en del raljerade över, nämligen de tomma ladorna, har ju nu enligt ganska många eniga bedömare visat sig vara alldeles riktigt. Den tidigare regeringen lämnade nämligen ifrån sig stora budgetunderskott, och det innebär att varje enskild åtgärd som ska genomföras behöver finansieras.  Jag tror inte att man ska slå till och permanenta detta i alla hamnar på en gång, utan det kan nog vara så att man väljer ut några och sedan bygger ut det successivt - om det visar sig att man kan säkerställa till exempel att det är tillförlitliga resultat av mätningarna, så att man inte utsätter människor för onödigt kränkande behandling. Det handlar om att säkerställa rättssäkerheten, att det finns tillförlitlig apparatur och hur man går vidare med finansieringsfrågor och så vidare. Man kan alltså naturligtvis säga att det bara är att fatta ett beslut, men i själva genomförandet behöver man ha såväl teknik och pengar som förutsättningar i övrigt.  Det krävs också att alla inblandade parter har ett intresse av att jobba med de här systemen, vilket inte var fallet i den första försöksverksamheten. Det vill alltså till att såväl hamnledningar och polis som tullverksamhet och andra har ett intresse av att det här kommer till stånd. Jag tror därför att det kommer att bli fråga om en successiv utbyggnad och inte om att slå till med en fullt utbyggd verksamhet överallt på samma gång. Det som gör att vi inte fattar beslut nu är att vi vill avvakta den rapport som kommer i februari, för att faktiskt dra nytta av den försöksverksamhet som har varit och kunna dra rätt slutsatser samt motverka fallgropar som kan ha kommit fram under försöken, det vill säga att man har upptäckt saker som inte har fungerat så bra. ","S"
"Sten Bergheden","Fru talman! Det var inte mer än några dagar sedan man stoppade en chaufför i en tung lastbil nere i Stenungsund och chauffören inte ens hade koll på var han var någonstans. Den utvecklingen ser vi mer och mer ute på våra vägar; det är 60-tonsekipage med chaufförer som kör omkring.  Vi har en möjlighet att möta en hel del av problemet redan i våra hamnar, och då blir man lite förvånad över varför det helt plötsligt ska ta sådan tid. Riksdagsmannen Lars Johansson - jag tror att han är känd från Göteborg - satt också i trafikutskottet under förra perioden, och han uttalade för ett år sedan att han ville se ett skyndsamt införande av alkobommar runt om i landet. Det sa han för ett år sedan. Jag trodde att det var planerat hos den socialdemokratiska regeringen att man nu när man tog över och kom till makten faktiskt skulle sätta det här i verket.  I stället får vi se att man sätter igång nya utvärderingar och nya förhalningar. Man talar om att detta kommer att ta tid och att det kostar pengar. Ja, då måste jag svara att det här, fullt utbyggt, kommer att kosta kanske 100 miljoner kronor. Är det någon här inne som vet vad stoppet av Förbifart Stockholm kostade?  170 miljoner kostade stoppet av Förbifart Stockholm. Här spelade regeringen bort de pengar som skulle ha kunnat rädda människoliv ute på våra vägar, som skulle ha stoppat de onyktra chaufförerna från att komma ut på svenska vägar. I stället valde man att skjuta upp Förbifart Stockholm och spelade därmed bort 170 miljoner. De pengarna skulle ha räckt till en dubbel utbyggnad av alkobommar i våra hamnar. Fru talman! Efter Lars Johanssons uttalande för drygt ett år sedan är det märkligt att frågan nu helt plötsligt har fått lägre prioritet än den hade då. Är det så att frågan var mer prioriterad när Socialdemokraterna satt i opposition än den är när de befinner sig i majoritet och kan verkställa det som de talade om i oppositionsställning? En utbyggnad kostar ungefär 100 miljoner. Det är omkring 1 miljon per kontrollstation. Det kan jämföras med att vi sätter upp fartkameror. De ligger på i genomsnitt 400 000 kronor per styck. Om man använder de fållor som redan finns i våra hamnar kan man halvera uppsättningen av alkobommar i hamnarna runt om i landet. Det innebär att kostnaden för att få fram oerhört mycket trafiksäkerhet blir relativt låg. Samtidigt minskar användandet av polisresurser på våra vägar eftersom vi kan stoppa en del av trafiken redan i våra hamnar. Detta borde man titta vidare på. Finansiellt skulle man ha klarat det om vi hade kört igång Förbifart Stockholm när det var tänkt. Då skulle pengarna ha funnits. Nu spelar man bort dem. Om regeringen uppfattar det som ett svårt beslut tror jag att det finns en majoritet i riksdagen som kan hjälpa regeringen att i så fall fatta beslutet. Vi tycker att det är rätt viktigt att vi får upp alkobommar i våra hamnar. Fru talman! Jag förväntar mig mer handlingskraft. Jag förstår att regeringen väntar in en rapport i februari, men vad händer sedan? Skyll inte på ekonomin! De pengarna har ni redan spelat bort. Nu får ni börja inse att det handlar om människoliv. Det är tunga transporter som tar sig in i landet. De bör stanna där de ska vara - i hamnen, inte ute på våra svenska vägar. ","M"
"Monica Green","Fru talman! Tack för en mycket viktig interpellation! Det är jättebra att Sten Bergheden nu, i opposition, börjar intressera sig för frågan. Om jag rekapitulerar läget lite grann kan jag säga att Sten Bergheden och hans partikamrater inte var särskilt angelägna eller agerade särskilt skyndsamt i den här frågan när de var i regeringsställning. Snarare var det tvärtom. De hade åtta år på sig. De fick påtryckningar från MHF, som hade goda idéer, och från oss, som motionerade i frågan och ville skynda på den. Men i regeringsställning var man inte särskilt angelägen om att det skulle gå fort. Jag är glad dels för att Sten Bergheden är i opposition - det är jag mycket glad för - dels för hans nyvaknade intresse för den här frågan. Nu kan vi tillsammans fortsätta att skynda på den så att det blir som vi socialdemokrater vill, en utbyggnad av alkobommar i hela landet. Det behövs. Jag är säker på att även ministern anser det. Den borgerliga regeringen lämnade efter sig ett stort budgetunderskott och allting måste finansieras krona för krona. Jag har full förståelse för det, men jag vill att den här frågan ska hanteras fort. Vi räddar liv om vi kan skynda på saken och se till att alkobommarna blir utbyggda, om vi ser till att man använder den fantastiska resurs det är att kunna stoppa bilarna vid gränsen och göra ett utandningsprov. Det finns information på sju olika språk. Man kan haffa personer tidigt och stoppa dem som är onyktra. På det sättet räddar vi liv. Det går dessutom att bygga ut. Man kan digitalt kontrollera att körkortet är giltigt, och det finns också annat som man kan passa på att kontrollera digitalt när man fällt ned bommen och chauffören redan står där och blåser. Det finns alltså saker som kan utvecklas med systemet. Visst vill vi ha en utbyggnad i hela landet. Jag är glad över att det började i Göteborg. Jag är ledsen över att den borgerliga regeringen plockade ned systemet. Det hade varit bättre att låta det stå kvar när man hade chansen. Däremot valde den socialdemokratiska regeringen att låta försöket i Stockholm fortgå, att låta bommarna stå kvar, vilket jag tycker är bra. Det var ett mycket bättre beslut än den borgerliga regeringens, för de valde att plocka ned i Göteborg. Man behöver ge tydliga signaler till dem som jobbar med det här. MHF och andra som tagit fram det fantastiska systemet, bland annat i Tibro, vill jag som skaraborgare passa på att säga, behöver tidigt en signal om åt vilket håll det lutar. De behöver också en signal från ministern om att riktningen är rätt. Vi behöver alkobommar i alla hamnar. Vi skulle dessutom kunna utveckla det hela, för vi behöver dem också på campingplatser och på andra ställen. Vi måste se till att vi får bort de onyktra förarna från våra vägar. Vi behöver ha en säker trafik i landet. ","S"
"Pia Nilsson","Fru talman! Och plötsligt händer det. Sten Bergheden, Moderaterna, som haft åtta år på sig att ta initiativ till att permanenta försöksverksamhet med alkobommar vaknar till liv och kräver, efter drygt fyra månader med den nya samarbetsregeringen, att nu ska det hända saker. Varför tar regeringen inte initiativ? dundrar Sten Bergheden från talarstolen. Det är inte utan att man blir lite förvånad. Var fanns Alliansens handlingskraft de senaste åtta åren, Sten Bergheden? Var fanns pengarna till att permanenta försöksverksamheterna? Var fanns initiativet? Jag kan inte läsa det någonstans. Däremot kan jag se vad förra infrastrukturministern Catharina Elmsäter Svärd tyckte. I de svar som gavs i debatterna under förra mandatperioden går ingenstans att utläsa något om att permanenta försöksverksamhet med alkobommar. Däremot säger Elmsäter Svärd följande beträffande alkobommar: \"Det kan bli ett värdefullt komplement och stöd till kontrollerande myndigheters arbete med detta.\" Hon säger vidare: \"För regeringen\" - alltså för alliansregeringen - \"gäller det att se till att det är möjligt att pröva och införa innovativa sätt att förbättra och effektivisera arbetssätt som detta.\" Det sägs inte ett ord om att permanenta alkobommar. Det vore lite klädsamt om Bergheden kunde leverera aningen självkritik, måste jag säga. Jag tycker att interpellationen och frågorna är bra och viktiga att debattera och ser med tillförsikt fram emot att regeringen kommer att landa i positiva förslag. Vi ska inte utreda frågan ännu mer, för den är utredd. Däremot tycker jag att det är rimligt att som statsrådet Anna Johansson säger invänta den rapport med slutsatser som kommer i början av februari. Sedan kommer samarbetsregeringen att fatta handlingskraftiga beslut till skillnad från alliansregeringen, som inte gjorde någonting i frågan under de åtta åren, utom att klippa band och tycka att försöksverksamhet var bra. Men det gjordes ingenting, Sten Bergheden, för att permanenta. ","S"
"Edward Riedl","Fru talman! Det är en bra och viktig interpellation som har väckts av min moderata riksdagskollega Sten Bergheden. Självklart ska vi göra allt vi kan för att de tunga transporterna som går på våra vägar förs fram av nyktra chaufförer. Kan vi med alkobommar få bort mycket av problemen på våra vägar är det bra. Det borde vi kunna vara överens om, tycker jag. Fru talman! Både Monica Green och Pia Nilsson är socialdemokrater som i opposition under förra mandatperioden ägnade en hel del kraft åt att säga att regeringen gjorde för lite och att det tog för lång tid. Men när de hamnar i regeringsställning ägnar de den mesta mödan åt att prata om de åtta år som varit och ingenting om den tid som komma skall. Att debattera dåtid tycker jag är ett tråkigt sätt att möta framtidens utmaningar. Frågan borde väl snarare vara hur vi ser till att vi kan permanenta det här så fort som möjligt. Givetvis är det en kostnadsfråga; det är bara att hålla med. Och då tycker jag att det som Sten Bergheden tar upp är en fullt rimlig frågeställning. Regeringen tycker att man ska kasta bort 170 miljoner kronor av skattebetalarnas pengar på att frysa Förbifart Stockholm. Man tycker att det är en bättre idé, bättre användning av pengarna än att bygga ut alkobommar så att vi får bort mycket av de problem vi har på våra vägar. Det tycker jag är en dålig prioritering. ","M"
"Anna Johansson","Fru talman! Jag förstår lockelsen i den retoriska figuren att ställa Förbifartsförseningen mot alla möjliga satsningar på det ena och det andra. I teorin kan det se ut som att det vore möjligt. I praktiken vet naturligtvis alla vi som sitter i den här salen, men kanske inte riktigt alla som ser debatten på tv, att det är just en retorisk figur. Det är inte pengar som kan användas till någonting annat. De kommer att belasta det projektet. En del annat som kanske hade blivit billigare kommer man inte att kunna räkna hem fullt ut i det projektet. Om det blir en fördyring i slutändan, vilket vi faktiskt inte vet än, kommer det att innebära att uttaget av trängselskatt dras ut något i tiden. Det är allt som händer, bara så att vi har rett ut det. Men jag har respekt för lockelsen. Jag har också respekt för lockelsen att inte låtsas om att den försöksverksamhet som skulle slutrapporteras i februari 2015 avslutades den 31 december 2014 i enlighet med den förra regeringens planering. Efter det fanns det ingen finansiering för någon försöksverksamhet eller någon permanentning. Vad jag vet finns inte heller i den budget som passerade riksdagen i december några pengar avsatta för permanentning av alkobommar. Och om jag inte är felunderrättad var det tyvärr en annan budget än regeringens som vann riksdagens gehör. Jag förstår att det är lätt att prata och ställa krav. Men jag tycker att det här är en lite för viktig fråga att göra politisk cirkus av. Jag har sagt att vi vill avvakta den slutrapport som kommer i februari. Därefter kommer vi att se över vilka regelverk som behöver förändras, vilken teknik som är den lämpligaste och på vilka platser det är mest prioriterat att gå vidare med försöksverksamheten och permanenta den. I dagsläget vill vi avvakta resultatet av utvärderingen av den försöksverksamhet som är gjord. Det hade varit jättefint om den tidigare regeringen hade avsatt medel för fortsatt försöksverksamhet fram till att slutrapporten lämnats. Nu var det inte så. Men vi har sett till att försöksverksamheten fortsätter ytterligare sex månader, så att vi inte behöver plocka ned några alkobommar. Det tycker jag är bra för trafiksäkerheten. ","S"
"Sten Bergheden","Fru talman! Först vill jag bemöta Monica Greens påstående att vi inte gjorde någonting när vi satt i majoritet. Det var vi som tog initiativ till detta 2010 för att möjliggöra verksamheten i Göteborg och annat. Vi föreslog också att polisen och Trafikverket skulle finansiera detta på något sätt när man skulle gå vidare. Det var alltså vi som tog initiativet, fast det nog var Monica Green som var högljuddast. Men när vi nu kommer fram till nästa steg är det faktiskt ni i Socialdemokraterna som sitter i regeringsställning, hör och häpna. Och då är det ert ansvar att fullfölja de delar som ni står och pratar om här eller ville ha tidigare. Fru talman! Det märkliga här är att Monica Green säger att detta ska upp i alla hamnar - det låter helt rimligt - men att vi alldeles nyss hörde ministern säga att man kommer att gå försiktigt fram och pröva några hamnar först. Vilken linje kommer att väljas till slut? Det handlar om hur många bilar vi ska släppa igenom i våra hamnar och gränsstationer, vad som är rimligt. Hur många kan vi acceptera som kör på våra vägar? I dag gör vi 2,3 miljoner alkoholtester i landet hos polisen. I de här hamnarna skulle vi kunna göra 3 miljoner tester om året. Det är över 55 personer om dagen som kör ut på våra vägar onyktra vid våra hamnar och gränsstationer. Detta är ert ansvar. Ni sitter nu och utvärderar om det är rimligt att gå vidare med det här eller inte. Jag tycker självklart att vi ska hitta en bra finansiering. Jag sa också i mitt inledningsanförande att vi är villiga att gå vidare för att få stopp på de onyktra chaufförernas framfart. Vi brinner för frågan! Nästa steg, fru talman, kan vara att titta på om körkorten är giltiga, så att vi slipper ha chaufförer som kör omkring med ogiltiga körkort. Fru talman! Jag förväntar mig handlingskraft av ministern. Jag förväntar mig självklart att man väntar in februarirapporten. Jag förväntar mig att man tar initiativ och att vi löser frågan, så att vi slipper få ut de här onyktra chaufförerna på våra vägar. Det är ert ansvar, ministern! ","M"
"Monica Green","Herr talman! Jag har ingen annan uppfattning än statsrådet. Men jag vill att detta ska byggas ut i hela landet, och jag vet att det är möjligt. Det går att göra till exempel med en femårsplan. Man kan låta inblandade parter få uppdraget att bygga ut det allteftersom. Man kan konvertera gamla stationer som använts tidigare till gränskontroller. Då får man ett kontrollerat införande till rimliga kostnader. Tyvärr är det den borgerliga budgeten som gäller, och ni har inte avsatt några pengar. Ni bestämde er för att försöksverksamheten skulle ta slut den 1 december förra året. Vi valde att fortsätta den, trots att det är er budget, där det inte finns finansiering, som gäller. Men tack vare en initiativrik minister gick det att hitta lösningar, så att försöksverksamheten nu finns kvar i Frihamnen i Stockholm. Ni plockade ned försöksverksamheten i Göteborg. Ni tyckte att det räckte med ett försök. Vi valde att låta försöket i Frihamnen fortsätta, för vi tycker att det här är så viktigt. Vi vill över huvud taget komma åt den olagliga trafiken i det här landet, och en del av denna är just trafik med onyktra förare. Det är farligt, det är förödande. Många människor har fått sätta livet till för att vi varit för slapphänta mot onyktra förare i trafiken. Det behövs en uppryckning. Jag är nöjd och glad över att vi nu har en minister som tar de här sakerna på allvar, ser till att man pö om pö kan bygga ut detta i hela landet och inte tycker att det är roligt att bara klippa band och göra försök för att sedan plocka ned verksamheten och försöka ta poänger i opposition. Ni hade åtta år på er, men valde att bara göra försök. Vi gör politik på riktigt. Vi tar ansvar, och det är jag glad över. ","S"
"Edward Riedl"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Herr talman! Det är positivt att det verkar finnas en bred vilja i kammaren att lösa de här frågorna. Det tycker jag bådar gott. Det man möjligen kan oroa sig över är att socialdemokrater som i opposition var väldigt påhittiga och initiativrika och hade många kloka förslag och tankar hellre diskuterar dåtid än lösningar inför framtiden så fort de hamnat i regeringsställning. Men jag hoppas att det bara är debattlustan som brinner och att vi kan göra det som Sten Bergheden sa: lösa den här frågan och inte använda pengarna till dumheter. ","M"
"Anna Johansson","Herr talman! Det är en sak att prioritera frågan muntligt här i kammaren, en annan att prioritera den i praktiken när man lägger fram sina budgetförslag. Jag har inte talat om dåtid. Jag har talat om att vi ska avvakta tills vi får slutrapporten. Därefter ska vi ta ställning till hur vi kan gå vidare. Vi ser att det här har varit lyckade försök. Vi ska se till att införa det i en takt som vi mäktar med ekonomiskt och på ett sätt som garanterar rättssäkerheten. Vi ska se till att man bygger en organisation som gör att man kan hantera detta i hamnarna. Det är inte bara att sätta stopp med en alkobom, utan någon måste sedan ta hand om det. Det måste finnas en samverkan mellan berörda parter. Det behövs alltså en viss förberedelse för att det här ska kunna genomföras överallt. Vilken takt vi kommer att orka med har delvis att göra med att vi har stora ekonomiska utmaningar. Faktum kvarstår: Den borgerliga regeringen lämnade efter sig ett budgetunderskott långt över 170 miljoner. ","S"
