"Ylva Johansson","Herr talman! Katarina Brännström har frågat mig dels om jag avser att riva upp eller förändra lex Laval, dels om jag är beredd att äventyra den svenska modellen med att driva förändringar inom EU-fördraget. Jag kan försäkra Katarina Brännström om att jag inte vill äventyra den svenska arbetsmarknadsmodellen. Regeringen vill göra tvärtom. Vi jobbar för att stärka modellen. Och det är ett jobb som måste göras både här i Sverige och inom EU. Arbetstagare här i Sverige ska ha goda arbetsvillkor, och då krävs att både svenska och utländska arbetsgivare i grunden behandlas lika. Det är inte så att jag vill ställa andra och hårdare krav på utländska arbetsgivare. Jag vill att arbetstagare ska ha goda villkor. Regeringen vill att oavsett var man kommer ifrån ska principen vara att lika arbete ska ge lika lön här i Sverige. Goda arbetsvillkor i Sverige kräver att alla arbetsgivare följer tillämpliga svenska lagar och kollektivavtal. För att lyckas med detta vill regeringen att den svenska utstationeringslagen, inklusive lex Laval, ses över och skärps inom ramen för vad EU-rätten tillåter. Det kan på sikt också krävas förändringar av EU:s regelverk. ","S"
"Katarina Brännström","Herr talman! Jag tackar arbetsmarknadsministern för svaret, även om svaret kan göra mig och en del andra något oroade. Vi kan vara överens om en hel del i svaret. Vi vill båda värna den svenska modellen, och vi vill att alla som arbetar i Sverige ska ha goda arbetsvillkor och bra löner. Men både ministern och jag vet att det inte är någon enkel materia med EU-fördrag, där öppenhet, en inre marknad och en fri rörlighet av varor och tjänster är övergripande många andra krav och önskemål från enskilda medlemsländer. När domen kom mot Sverige var regeringen nödgad att vidta åtgärder och stifta en lag. Det blev lex Laval. Innan dess gjordes det rejäla utredningar och avvägningar, så lagen kom inte till på måfå. När nu ministern skriver i sitt svar att man vill se över utstationeringslagen och lex Laval - och till och med skärpa lagarna inom ramen för EU:s regelverk - kan det bli mer ord än realitet. Att ge sig på och ändra här kan öppna slussar som ingen av oss vill se. Att få 28 medlemsländer att enas kring något som ska ge svenska krav mer inflytande och som stärker den svenska modellen är verkligen inte enkelt. Det kan ju bli tvärtom. Vi lever i en alltmer globaliserad värld, och Sverige är inne i en av de snabbaste omvandlingsfaser som vi någonsin har upplevt. Då går det inte att backa tillbaka till en tid då Sverige hade stängda gränser, då LO bestämde vem som skulle få komma hit och jobba och då konkurrensen var nästan noll i vissa branscher. Internationalisering och öppenhet ställer svåra krav, på oss och på andra länder. Men ett syfte med EU var just den fria rörligheten. Att försöka bygga upp hinder är inte längre möjligt.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Självklart ska alla ha goda villkor, men vem säger att en polsk arbetare som har ett eget avtal med samma miniminivå som svenska kollektivavtal inte har goda villkor? Det finns inte endast en modell som är den enda rätta. För att människor i andra länder ska kunna komma ur sin fattigdom och för att Sverige ska fortsätta att utvecklas behövs en öppenhet. Vi ska ha en mycket god kontroll av dem som arbetar här och hur det går till på svenska arbetsplatser, och det ska ske av myndigheter. Men även parterna har en viktig roll att spela. Alla som kan och vet om något som är dåligt ska anmäla detta. Det är helt oacceptabelt att människor utnyttjas - där tror jag att arbetsmarknadsministern och vi är helt överens. Men protektionism och särregler för utländska företag kommer inte att hålla i EU. Det visar de domar som fallit, och där även Sverige dömdes efter skandalen i Vaxholm. Detta är verkligen svår materia, och ju mer man tränger in i den, desto mer förstår man att det är väldigt små marginaler man har att röra sig inom. Vi, liksom många andra länder, kan ha synpunkter på både det ena och det andra inom EU:s regelverk, men vi har att rätta oss därefter. Att ändra i fördrag eller i EU-rätten är nog inte möjligt - det tror inte jag i alla fall. Jag tror att det är farligt att göra som ministern gjorde före valet, innan hon var minister, att gå ut och lova när LO pressar på och säger att man måste riva upp. Jag tror att det är ett önsketänkande som inte kommer att bli en realitet, men självklart kommer vi här i kammaren att följa det arbete som regeringen gör på detta område. Jag tror att det som alliansregeringen gjorde är ungefär så långt man kan komma. Det är mycket små förändringar, som är rimliga om man ska hålla sig till EU-rätten. ","M"
"Hillevi Larsson","Herr talman! Redan under förra mandatperioden med den förra regeringen var riksdagsmajoriteten för att vi måste göra en förändring på det här området. Det första problemet är såklart det som hände Byggnads och Elektrikerna. Det var inte nog med att deras strejk förklarades olaglig, eller vad man ska kalla det, utan de fick även betala skadestånd. Sedan finns det också reella problem med den här lagen. Det handlar om att man till exempel inte kan kräva försäkringsskydd för arbetstagare som kommer hit och arbetar. Det innebär att det är arbetsgivaren som ska bevisa att det finns missförhållanden som strider mot grundläggande svenska rättigheter för arbetstagare. Men man släpper inte in någon annan på arbetsplatsen, till exempel fackliga organisationer, som är en part i andra sammanhang. En stor del av dem som omfattas av den svenska modellen släpps inte in för att kontrollera. Vi vet att det finns lönedumpning - det är ett faktum. Det handlar om likabehandling oavsett varifrån man kommer, om man kommer från Sverige eller från ett annat land, och även rätt till fackliga rättigheter och stridsåtgärder. Därför är jag glad att regeringen och Ylva Johansson aviserar att vi måste se över de här regelverken.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Vi har fått kritik från FN-organet ILO, International Labour Organization. Det intressanta där är att vi har fått kritik utifrån att vi har skrivit under en konvention om att vi ska ha strejkrätt men bryter mot den genom lex Laval. Det har underkänts av ILO. Det är förvisso en expertkommitté inom ILO, men jag tycker ändå att man bör ta kritiken på allvar för att vi har en lagstiftning som strider mot internationella konventioner som vi har skrivit under. Även Europarådet har genom en kommitté för den sociala stadgan riktat kritik utifrån att vi inte kan upprätthålla strejkrätten och förhandlingsrätten, framför allt. Jag tycker att det är fullständigt naturligt att regeringen nu ser över lagstiftningen, ser till att vi följer gällande internationella konventioner och ser till att det råder likabehandling oavsett vilket land man kommer ifrån och grundläggande fackliga rättigheter inte minst här i Sverige. Jag är lite förvånad över kritiken mot bakgrund av att en riksdagsmajoritet redan förra gången gav regeringen i uppdrag att göra någonting åt det här. Vi kan se att det är reella problem på arbetsmarknaden, så det är inte bara ett påhitt. Det fungerar inte i praktiken. Jag är som sagt glad att regeringen ser över det här. Man får såklart titta på EU-rätten också, men där kan vi jobba på två fronter: se till att vi kan förbättra regelverket utan att det bryter mot EU:s reglemente men samtidigt driva på för ett bättre regelverk på EU-nivå. Vi har till exempel krävt ett socialt protokoll som innebär att den fria rörligheten inte får överordnas grundläggande rättigheter för medborgarna, inte minst fackliga rättigheter. Jag tror att vi ska driva det på flera fronter. Det är många som menar att vi inte behöver utforma lagen som vi har gjort. I Danmark har man till exempel gjort på ett annat sätt. Det är fullt möjligt att förbättra det här. Jag gläder mig åt regeringens arbete. Man får såklart göra det här på ett genomarbetat sätt. Jag ser verkligen fram emot det. ","S"
"Ylva Johansson","Herr talman! Låt mig först göra en markering: Om man jämför anständiga och lika villkor på arbetsmarknaden med att stänga gränser, då tycker jag att man pratar dumheter. Det handlar om att människor ska ha anständiga och lika villkor. De som arbetar i Sverige ska jobba på samma villkor oavsett om de kommer från ett annat land eller är bosatta och uppvuxna i Sverige. Det handlar inte om några särregler för företag med utstationerade arbetstagare. Det är det vi inte vill ha. Vi vill ha lika regler. Utstationeringsdirektivet har begränsningar. Bakgrunden till utstationeringsdirektivet var ju också att man från början hade ett förslag som var mycket mer långtgående, där man kunde ställa krav på avtal som fullt ut motsvarade svenska kollektivavtal. I förhandlingar krävde sedan en del länder att man skulle ändra direktivet så att det skulle bli möjligt att konkurrera med lägre löner. Så blev det också i direktivet. Men det är inte hugget i sten att det måste vara så för alltid. Jag tror att det är allt fler länder som ser problemen. Det skulle behövas en förändring av utstationeringsdirektivet.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Det är regeringens uppfattning att den lagstiftning som den gamla regeringen drev igenom gjorde en onödigt snäv tolkning av gällande direktiv. Sedan dess har det skett förändringar i EU:s regelverk, vilket ger utrymme för att ändra den nationella lagstiftningen, utstationeringslagen, för att stärka kollektivavtalens roll och den svenska modellen. Det är absolut möjligt att göra. Det finns också en parlamentarisk utredning som arbetar med frågan. Anledningen till att vi har en utredning är just att vi ska få gedigna och genomarbetade förslag att ta ställning till. Vi ska inte behöva förlita oss på vad Katarina Brännström tror är möjligt att göra. Jag har för avsikt att tillsammans med mina kolleger i ministerrådet driva frågan om ett socialt protokoll av de skäl som Hillevi Larsson tog upp här. Det är viktigt för att vi ska få en hygglig balans mellan den fria rörligheten och de fackliga och sociala rättigheterna. Jag kommer också att ta upp den specifika frågan om utstationeringsdirektivet. Jag är inte ensam om att vilja driva den frågan, utan flera av mina kolleger har samma önskan att göra förändringar av utstationeringsdirektivet. ","S"
"Katarina Brännström","Herr talman! Allt detta med utstationeringslagen, lex Laval och EU-direktivet är mycket svårhanterlig materia. Som jag påpekade tidigare finns det inte särskilt mycket utrymme för förändringar. Nu säger ministern att alliansregeringen gjorde en för snäv tolkning och att det i dag finns utrymme. Det är möjligt att det finns något som kan göras, men det kommer inte att bli några stora förändringar. Det var mycket snack före valet. Det är alltid lätt att i opposition i en valrörelse avge löften som man senare, när man tvingas ta ansvar, inser inte kommer att kunna bli verklighet. Det är rätt intressant vad LO-basen Thorwaldsson skriver - han kräver att lex Laval ska rivas upp. Ändå säger arbetsmarknadsministern: Nej, vi ska inte riva upp, men vi ska försöka göra förändringar. Man förstår ju redan när man läser detta att det inte är enkelt. En sak som jag är glad över är att det egentligen inte finns några bevis för att det förekommer lönedumpningar. Hillevi Larsson påstod att det förekommer. Det vore intressant att höra vad som bevisar det. Försäkringsskydd kan inte krävas i dag, nej. Det är den hårda kärnan som gäller - man har avtalat precis vilka områden som ska kunna ingå. Det är möjligt att det går att införa ett skydd även när det gäller försäkringar, och det kanske vore bra. Det återstår att se. Men jag tror inte att det kommer att bli några stora förändringar över huvud taget. Det som hände i Vaxholm - att Byggnads blockerade och ropade \"go home\" - kommer aldrig att hända igen, och det tycker jag är väldigt bra. Vi ska ha rörlighet för människor, tjänster och varor. Det är så det är tänkt med EU; det är en av grundreglerna. Det är också det som gör att vi kan konkurrera och har en marknad som fungerar väldigt väl. Här måste vi se till att myndigheter - framför allt Arbetsmiljöverket men även Skatteverket, Försäkringskassan och andra - finns ute och kontrollerar att det sköts enligt det gällande regelverket. Där tror jag att det finns mycket kvar att göra.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Vi får väl se vad den parlamentariska utredningen som jag själv har deltagit i landar i, men det är samma sak där: Det kommer inte att finnas särskilt stora marginaler för att göra de ändringar som LO har krävt eller som regeringen tror att man ska kunna göra. Sverige är ett av 28 medlemsländer. Det gör att vi inte kan ställa krav. Inte ens om man går ihop med ett par andra länder är det säkert att det går att enas när 28 länder måste tycka likadant. Det här är svårhanterlig materia. Det är jättesvårt att se både det negativa och det positiva. Jag tror att det regelverk som gäller har vaskats fram och tillbaka så pass mycket att vi ska vara glada över att det finns. Ingen vill att det vara dåliga villkor; det kan vi verkligen vara överens om. Men det är minimivillkoren som ska vara uppfyllda. Man kan aldrig säga att minimivillkor i ett svenskt kollektivavtal är dåliga villkor. För den som får det och kommer från en helt annan kultur och lönestruktur kan det vara ett otroligt lyft. Jag tycker att vi ska vara lite ödmjuka inför hur bra vi har det i Sverige men också för hur andra länders modeller ser ut. Vi har kanske gått långt förbi dem. Att då kräva ytterligare möjligheter för svenska fack att stå upp för det som hände i Vaxholm tror inte jag är möjligt. Men det får vi väl se när vi återkommer i ärendet. ","M"
"Hillevi Larsson","Herr talman! Det har visat sig i många fall när man har varit ute och undersökt arbetsförhållanden - löner, arbetsmiljö, försäkringsskydd och sådant - att det finns stora problem. Ett av problemen är att det är svårt att kontrollera villkoren. De fackliga organisationerna släpps inte ens in. Många som arbetar på sådana arbetsplatser är såklart rädda att vända sig till myndigheter eller facket. Man är rädd att förlora jobbet och bli hemskickad. Det finns alltså ett problem i detta, och det är inte bara att det finns risk för låga lönenivåer utan att kontrollen av att man över huvud taget följer regelverket haltar. Därför bör hela lagstiftningen ses över. Jag kan inte riktigt förstå varför man driver linjen att man ska stoppa det här arbetet när vi har en majoritet i riksdagen som vill någonting annat. Vi hade det redan förra mandatperioden. Den borgerliga regeringen fick ett uppdrag - redan i september 2012 skulle man ha förändrat regelverket. Jag tycker alltså att det är lite konstigt att man inte vill följa riksdagens majoritet. Jag förstår inte heller varför det är så skrämmande med likabehandling. Det handlar ju inte om att andra regler skulle gälla för människor som kommer hit från andra EU-länder och arbetar, utan det handlar om att de ska garanteras samma grundläggande rättigheter. Det handlar alltså i grunden om att man inte ska diskriminera människor. Jag kan känna att det egentligen är ännu viktigare att man reglerar de här människornas arbetsförhållanden i och med att de kanske inte har en facklig organisation och att myndigheterna inte fullt ut kan göra kontroller. Det handlar alltså om likabehandling och fullständiga fackliga rättigheter. Det är den svenska modellen, så egentligen är det den svenska modellen vi debatterar här i dag. Vi ska kunna försvara den även på EU-nivå. ","S"
"Christian Holm"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Herr talman! Tack, arbetsmarknadsministern! Att det här är en fråga som är ständigt aktuell och att LO vill ha förändringar vet vi sedan tidigare. Det är bra att få det tydliggjort även av arbetsmarknadsministern, för vi vet ju att banden mellan LO och det socialdemokratiska partiet är väldigt starka. Det är bra om vi får den kopplingen förtydligad här. Är det regeringen eller LO som bestämmer i frågan? Är regeringen en knähund till LO, eller kan man stå upp för helheten? Möjligheterna till förändring är, som min kollega Katarina Brännström förtjänstfullt har redogjort för här, väldigt små. Jag tror inte heller att vi vill förändra alldeles för mycket. Öppenheten och den fria rörligheten inom EU har varit bra. Den har tjänat oss väl, och den har tjänat EU väl. Inte minst Sverige, som är ett exportberoende land, mår bra av det här. Allt det som sker med utstationeringsdirektiv och lex Laval har också varit uppe. Det var bedrövliga scener vi såg för ungefär tio år sedan i Vaxholm, då fackets män - för det var män - stod utanför en skola och skrek till baltiska arbetare som var här under förhållanden som var fullt lagliga: Go home! Det är något jag tycker inte hör hemma i det svenska samhället. Det finns också många andra krafter som framför sådana åsikter. Jag är för öppenhet, frihet och sjysta villkor. Det är egentligen inte detta vi diskuterar här. Vi har minimivillkor som måste uppfyllas. Där har man alla möjligheter, så jag har svårt att se problemet. Men jag skulle vilja höra hur arbetsmarknadsministern exakt ser på detta. Är det inte tillräckligt att man uppfyller de villkor som finns i lagen i dag? ","M"
"Ylva Johansson","Herr talman! Katarina Brännström, Christian Holm och jag står långt ifrån varandra i den här frågan. De moderata ledamöterna ser inga problem. Jag ser betydande problem, och jag delar den uppfattningen med en ganska stor del av dem som är aktiva på arbetsmarknaden. De förslag som har kommit till utstationeringskommittén står inte bara LO bakom, utan LO, TCO och Saco har lämnat in gemensamma synpunkter och gemensamma förslag på förändringar man anser borde göras i utstationeringslagen. Det är viktigt att se att detta är två olika delar. Utstationeringslagen är en svensk lag som vi beslutar om här i Sveriges riksdag. Gränserna för hur långt man kan gå i den lagen sätts av utstationeringsdirektivet, som beslutas på EU-nivå. Det är min avsikt att vi ska riva upp den nuvarande lex Laval och utarbeta nya lagförslag i de avseenden det är möjligt inom ramen för utstationeringsdirektivet. Det är också min bedömning att det finns ett betydande utrymme för att skärpa lagstiftningen inom ramen för gällande utstationeringsdirektiv. Sedan är det också min avsikt att försöka förändra utstationeringsdirektivet. Där är det svårare att bedöma hur arbetet kan gå, men det kommer att vara en viktig prioritering för den här regeringen tillsammans med arbetet för ett socialt protokoll på EU-nivå och en fördragsändring. Christian Holm talar lite föraktfullt om samarbetet inom arbetarrörelsen. Jag är stolt över det samarbetet. LO har sitt uppdrag av sina medlemmar. Det socialdemokratiska partiet har sitt uppdrag av sina medlemmar och av sina väljare. Det är olika uppdrag, men jag är stolt över att vi har ett samarbete inom arbetarrörelsen.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Herr talman! Jag vill också berätta att utstationeringskommittén kommer att få nya direktiv och en ny ordförande. Regeringen har för avsikt att besluta om detta på torsdag. Då kommer de nya direktiven att bli kända för mina meddebattörer. ","S"
"Katarina Brännström","Herr talman! Jaha, då fick vi höra att det kommer att bli lite förändringar i den parlamentariska kommittén. Det var väl i och för sig inget oväntat. Det kan jag förstå. Vi får väl se vad som händer. Jag tror att man ändå redan nu kan skönja att de stora ord som sades före valet lite grann har tonats ned. Även om man säger att LO kräver detta måste arbetsmarknadsministern ta andra hänsyn än till LO. Det är rimligt och rätt, och så ska det vara. Vi välkomnar ett förtydligande av regeringen om vad det är som ska ändras och vad som egentligen kommer att ske med den svenska lagen. Den svenska lagen innebär ju i korthet att när det gäller företag som har sämre villkor än svenska minimikrav kan facken kräva anslutning till svenska kollektivavtal och också vidta stridsåtgärder. Men återigen handlar det om minimikrav. Lex Laval begränsar också möjligheten för facken att ställa helt orimliga krav. Det får man inte heller göra, enligt EU:s regelverk. Om det finns avtal som är minst lika bra som svenska minimikrav avseende både lön och villkor kan inte svenska kollektivavtal påtvingas företagen. Det är detta som gäller enligt EU:s regelverk och enligt den svenska lagen. Det ska bli intressant att se vem som kommer att vinna kampen mellan LO och regeringen. Kommer lagen att rivas upp, eller kommer det att bli endast små, marginella förändringar som kanske också innebär förbättringar som vi kan välkomna? Det ska bli intressant att få se det. ","M"
"Christian Holm","Herr talman! Tack, Ylva Johansson, för dina svar! Då vet vi att det blir förändringar. Kan statsrådet i dag säga någonting mer tydligt om exakt vilka förändringar som hon avser eller åtminstone önskar få igenom? Precis som Katarina Brännström kan jag känna att det är lite mindre stuns i kraven nu än det var före valet. Så är det väl - det finns löften före valet och kanske lite annan leverans efteråt. Jag talade inte föraktfullt om det facklig-politiska samarbetet, som jag tror att det brukar kallas, mellan Socialdemokraterna och LO, utan det jag sa var mer informativt. Fackets, LO:s representanter, sitter ju med på absolut högsta nivå i det socialdemokratiska partiet. Självklart diskuterar vi också att det blir färre medlemmar i facket, och vi vet att Socialdemokraterna får färre väljare varje val, och det är klart att det kan hänga ihop.  Men vi vet också att socialdemokratin har tydliga intressen av att hålla sig väl med LO - ungefär 70 miljoner om året i direkt ekonomiskt stöd. Det är klart att det är intressant och viktigt för väljarna att få reda på vad detta innebär och hur det påverkar. Kopplingen blir allt tydligare, och det är viktigt att det framkommer i den politiska debatten. ","M"
"Ylva Johansson"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Herr talman! Låt mig ta upp den sista delen. Jag tror att det skulle vara bra om fler partier redovisade sitt ekonomiska stöd, så att väljarna kunde ta ställning till det. Då får man se vad man tycker är rimligt eller inte. Det har varit en del hårda ord i den här debatten. På torsdag tar regeringen beslut om tilläggsdirektiv, och en ny ordförande för den parlamentariska utredningen om utstationeringslagen kommer att offentliggöras. Trots att vi kanske har skilda utgångspunkter här är det min förhoppning att vi kan ta fasta på det Katarina Brännström säger om ett konstruktivt samarbete i utredningen. Det har det varit hittills - jag har själv fram till nyligen varit ledamot av utredningen - och jag hoppas att vi får se det också i fortsättningen, så att vi kan värna svenska kollektivavtal och den svenska modellen i EU-miljön, där det inte alltid är så enkelt. ","S"
