"Magdalena Andersson","Herr talman! Erik Andersson har frågat mig vilka skatter jag kommer att föreslå höjningar av och för vilka höjningarna kommer att gälla. Utgångspunkten för regeringens politik är att reformer måste genomföras på ett ansvarsfullt sätt och finansieras fullt ut. Ordning och reda i statens finanser är grunden för fler jobb och en hållbar välfärd av god kvalitet. Underskottet i de offentliga finanserna ska steg för steg pressas tillbaka. Vilka skatteförslag som kan bli aktuella framöver är något som regeringen prövar inom ramen för budgetarbetet, där en samlad bedömning och avvägning görs. Naturligtvis ligger de förslag som regeringen presenterade i budgetpropositionen för 2015 med som ett underlag i det fortsatta arbetet. ","S"
"Erik Andersson","Herr talman! Min fråga var vilka skatter finansministern kommer att föreslå höjningar av och för vilka dessa höjningar kommer att gälla. I svaret fick jag inte mycket till svar. Finansministern skriver att de förslag som fanns med i budgetpropositionen för 2015 naturligtvis kommer att vara underlag för det fortsatta arbetet. Men, herr talman, om jag får tillåtelse att hjälpa finansministern i hennes arbete kan jag tala om några av de skattehöjningar som fanns med i förslaget i budgetpropositionen för 2015. Det är ett femtontal eller ett tjugotal skatter - minst. Svenska folket kan förvänta sig skattehöjningar i form av avtrappat jobbskatteavdrag, att det blir dyrare att anställa unga, särskild löneskatt för äldre, slopad skattereduktion för gåvor, halvering av RUT-avdraget med mera med mera. De kommande skattehöjningarna kommer att slå hårt mot den äldre arbetskraften. Den särskilda löneskatten för äldre kommer att innebära att färre äldre kommer att arbeta. Under senare tid har över 100 000 äldre kommit ut på arbetsmarknaden, och Sverige har EU:s snabbast växande sysselsättningsgrad bland personer över 65 år. Jag är rädd att denna positiva trend kommer att brytas i ett läge då vi måste arbeta längre upp i åldrarna. Finansministern skulle inte höja skatter för vanliga löntagare, fick vi höra i valrörelsen. Nu har det bevisats att det inte stämmer. Samtliga som tjänar över 36 200 kronor i månaden kommer att få höjd skatt. Tidigare räknades detta upp med inflationen plus 2 procent. Det är alltså 72 000 fler som kommer att få betala statlig skatt, och det här kommer att drabba 1,1 miljoner löntagare. Att höja arbetsgivaravgifterna för unga kommer att slå hårt mot personer som redan i dag står långt från arbetsmarknaden. Finansministern kan väl inte mena att det blir fler jobb om man ökar konstaderna för att anställa? Jag tror i och för sig att hon menar det med tanke på de tidigare debatterna. Halveringen av RUT kommer att slå hårt mot en bransch där uppemot 20 000 personer är verksamma och mot till största delen kvinnligt företagande. När Danmark utförde förändringar i hemserviceavdraget fick 85 procent av alla som arbetade i sektorn gå från sina jobb. De kommuner som ökar mest när det gäller att anlita hjälp i hemmet - det är rätt intressant; det är inte bara i Stockholmsområdet - är nu Gällivare och Jokkmokk. Den breda uppgång som vi nu ser på arbetsmarknaden riskerar att brytas genom de här omfattande skattehöjningarna. 85 procent av alla skattehöjningar riktas mot jobben och arbetsinkomsterna. Nu senast aviserade finansministern att man ska överge överskottsmålet. Tidigare kunde vi höra finansministern upprepa gång på gång, inte minst i valrörelsen, att överskottsmålet var viktigt. Ladorna var tomma, och om ladan var fem meter hög var den belånad upp till två meter. Att överge överskottsmålet kommer att skada statens finanser. Om ladan i en framtid blåser ned kommer vi inte att ha råd att bygga upp den, för då måste vi ta stora lån. Finanspolitiska rådet skrev i höstas: \"Svårigheter att i närtid leva upp till överskottsmålet är däremot inte ett giltigt argument för att sänka överskottsmålet.\" Alliansen lämnade ett Sverige som var på rätt väg, där överskottsmålet har varit en viktig del i att bygga skyddsvallar inför framtidens utmaningar. Regeringens besked om aviserade skattehöjningar kan försvaga vår ekonomi och riskerar att utsätta landet för risker. Därför upprepar jag min fråga: Vilka skatter kommer finansministern att föreslå höjningar av? ","M"
"Niklas Wykman","Herr talman! Tack, finansministern, för de svar vi förväntade oss! Skatter är något väsentligt på så sätt att det säkrar finansieringen av välfärden. Men skatternas utformning och nivåer påverkar också i mycket hög utsträckning vilken tillväxtpotential och vilken sysselsättningspotential ett land har. Modern nationalekonomisk forskning visar alltmer betydelsen av detta, särskilt för grupper med svag förankring på arbetsmarknaden, för grupper som har ett lägre sysselsättningsdeltagande än genomsnittet och för dem som har svårt att etablera sig. Därför är det viktigt att få tydliga besked från finansministern om vad det är som gäller. I dag finns det möjlighet att reda ut oklarheter. Är det finansmarknadsministerns besked om ränteavdrag som gäller, eller är det finansministerns besked om ränteavdrag? Är det framtidsministerns besked att vi ska ha lägre skatter på arbete som gäller, eller är det finansministerns besked att vi ska ha högre skatter på arbete? Det vore väldigt bra om finansministern kunde svara på de frågorna. Är det finansmarknadsminsterns besked att vi ska slopa ränteavdragen som gäller, eller är det finansministerns besked att vi ska ha kvar ränteavdragen? Är det framtidsministerns besked att vi behöver lägre skatter på arbete som gäller, eller är det finansministerns besked att vi behöver högre skatter på arbete? Det är alltså väldigt enkla och tydliga frågor att lämna besked om, och svenska folket skulle uppskatta att få reda på svaret. Nu har vi en regering som lämnar i stort sett alla besked i en stor mängd frågor. Det skapar stor osäkerhet för jobb, investeringar och produktivitet i vårt land. Det vore också bra att få besked om hur man ser på viktiga skattereformer, till exempel jobbskatteavdraget. Det är infört i ett tjugotal länder med mycket stor effekt, dokumenterad i hyllmeter av internationell forskningslitteratur - Hoynes, Eissa med flera. Man har gått igenom land för land och utvärderat effekterna av jobbskatteavdraget, även i Sverige. Det har sagts här att man inte kan se effekterna av jobbskatteavdraget för hela befolkningen. Det betyder ju inte att de inte finns. Finansministern är säkert medveten om att man brukar tala om ex-ante-studier och ex-post-studier. Det betyder att man på förhand försöker se vad en reform eller en förändring kan ha för effekt och att man efteråt försöker isolera just den effekten. Ex-post-studier är svåra att göra av jobbskatteavdraget av en enda anledning, nämligen att det ges till alla. Det finns ingen kontrollgrupp. Det är lite grann som att försöka bevisa effekten av en medicin som man ger till alla människor i försöksgruppen. Det är därför man inte gör försök på det sättet. Det betyder inte att effekten inte finns. Det är väldigt viktigt att framhålla, och det tror jag att finansministern själv kommer fram till om hon tänker på detta. Därför är det till exempel enklare att isolera och beskriva ex-post-effekten av skattelättnaden för till exempel pensionärer, det förstärkta jobbskatteavdraget. Det finns de som får det och de som inte får det, och då kan man jämföra grupperna och dra slutsatser. Men en medicin som ges till hela försöksgruppen kan man alltså inte säga vad den har för effekt, för det finns ingen kontrollgrupp. Så är det med jobbskatteavdraget också. Det är därför tämligen ohederligt att argumentera för att det inte skulle finnas någon effekt bara för att det inte finns någon kontrollgrupp. Då kan man tycka att man skulle ha kontrollgrupper, men vi tenderar även i skattesystemet att vilja behandla hela befolkningen lika. Men nu handlar det om framtiden och besked. Då vänder jag mig till dig, Magdalena Andersson. Du har sagt att vi ska ha högre skatter på arbete. Din kollega framtidsministern säger att vi ska ha lägre skatter på arbete. Vilket besked är regeringens besked - är det ditt eller framtidsministerns? Finansmarknadsministern talar om att vi ska föra dialog om att avskaffa ränteavdragen. Du har sagt att vi ska ha kvar dem. Nu talar vi om vad vi ska ha för skatter framöver, och nu vill jag att du lämnar tydliga besked. ","M"
"Eva-Lena Jansson","Herr talman! Med anledning av interpellationen vill jag säga någonting om det här med arbetsgivaravgifter för unga. Den frågan har diskuterats en hel del, bland annat i arbetsmarknadsutskottet där jag sitter. Man föreslår nu normaliserade arbetsgivaravgifter för dem under 26 år, det vill säga att man behåller arbetsgivaravgiften på samma nivå. Erik Andersson måste svara på vad som händer med de företag som har anställda som fyller år. Anser Erik Andersson att det är en chock för de företagen att unga fyller år? Man blir ju äldre så småningom. Det tycker vi är positivt. Då passerar man den här gränsen för arbetsgivaravgifter. I mitt län, Örebro län, finns det 15 000 ungdomar mellan 18 och 24 år. Av dem är 1 500 inskrivna på Arbetsförmedlingen. Erik Andersson borde berätta varför han då tycker att vi ska finansiera arbetsgivare som redan har andra anställda. Vi kan konstatera att de ungdomar som är långtidsarbetslösa ofta saknar utbildning. De får inte jobb. De har varit långtidsarbetslösa trots den nedsatta arbetsgivaravgiften. När det gäller RUT tänkte jag fråga Erik Andersson om han känner många enskilda personer som köper RUT-tjänster för över 25 000 kronor per år. Är det en stor målgrupp som köper dessa tjänster för över 25 000? Det skulle vara intressant att veta, eftersom han hävdar att det kommer att försvinna en massa jobb om de som köper för över 25 000 ska betala hela tjänsten själva i stället för att få bidrag. Det är en bidragspolitik som han beskriver. Jag tycker att Moderaterna också ska försöka förklara och försvara varför man gör det. Går man på Niklas Wykmans resonemang om fakta och statistik kan man fråga sig vad den ökade sjukskrivningstakten i dag beror på. Vi ser ju att sjukskrivningarna ökar i Sverige, framför allt bland kvinnor. Poängen med den förändrade sjukförsäkringen och jobbskatteavdraget var att fler skulle jobba. Nu ser vi att fler unga blir sjuka. Hänger det också ihop med jobbskatteavdraget, menar Niklas Wykman? Niklas Wykman försöker ju empiriskt visa att vissa saker får effekt. Hela gruppen omfattas ju inte. Sjuka och arbetslösa fick inte del av jobbskatteavdraget. Ändå ökar sjukskrivningarna. Det vore bra om Niklas Wykman försökte använda sin statistik på mer än ett kreativt sätt. ","S"
"Jan Ericson","Herr talman! Jag kunde inte låta bli att blanda mig i den här interpellationsdebatten i väntan på nästa. När vi diskuterar skatter vill jag påminna om ekvationen som jag nämnde förut. Om sänkta skatter leder till ett bättre företagsklimat och fler jobb, så får vi fler skattebetalare och sammantaget högre skatteintäkter, även om varje person betalar lite mindre i skatt. Det är precis så det har blivit. Vi har fått fler människor i arbete, och vi har fått mer skatteintäkter och mer pengar till välfärden.  Ekvationen har fungerat, och den har fungerat mitt i en djup lågkonjunktur. Tänk så bra den kommer att fungera om man fortsätter på den här vägen när vi får lite bättre konjunktur!  Om Sveriges problem vore att vi hade för låga skatter hade jag köpt att vi skulle höja dem. Men problemet i dag är faktiskt att Sverige fortfarande, trots våra reformer, är ett av de länder i världen som har högst skatter, även om vi inte riktigt ligger i topp längre.  Om sänkta skatter skapar fler jobb, vad leder då höjda skatter till? Den frågan är också befogad. Vi har faktiskt klarat oss bättre än omvärlden, även om Magdalena Andersson påstår att jag i förra debatten bara jämförde oss med Spanien och Grekland. Nej, jag jämför faktiskt med våra grannländer. Magdalena Andersson nämnde Danmark. Sanningen är den att det har blivit mycket färre nya jobb i förhållande till den ökande befolkningen i Danmark än i Sverige. Vi har alltså klarat oss betydligt bättre än länderna i norra Europa. Att man räknar arbetslöshet på lite olika sätt i olika länder förvirrar lite. I Tyskland och Österrike räknar man till exempel in alla elever som går på yrkesprogram. De räknas som sysselsatta i statistiken, för de har lärlingsanställningar. Det har man inte i andra länder. Detta gör att det är ganska svårt att jämföra siffror rakt av. Ser man till helheten har Sverige klarat sig väl så bra som andra länder, troligen bättre än de flesta. Nu kom vi in på detta med arbetsgivaravgifterna för ungdomar. Då vill jag upprepa vad jag brukar säga i de diskussionerna. Vi tittar mycket på hur många nya jobb som har skapats till följd av att man har sänkt arbetsgivaravgiften för ungdomar. Men något vi missar i den diskussionen är hur många som har fått behålla jobben under en djup lågkonjunktur tack vare att det har blivit lite billigare att behålla personalen. När jag träffar företagare inom restaurangsektorn, dagligvaruhandeln och så vidare säger de: Normalt sett hade vi varit tvungna att dra ned lite när det är sämre tider, men eftersom det har blivit lite billigare att ha unga anställda har vi kunnat behålla fler än vi hade behållit annars. Hur många jobb som har räddats på det här sättet går naturligtvis inte att räkna ut. Då får man fråga varje arbetsgivare och hoppas att de berättar det. Men självklart finns det en sådan effekt. Inom restaurangsektorn finns ett tydligt mönster. Innan jag kom in i riksdagen jobbade jag med att hantera dåliga krediter under den förra bankkrisen. Så fort man får kriser slås vissa branscher ut väldigt snabbt, bland annat inom restaurang- och kafésektorn. Det som skiljer den här krisen från tidigare kriser är att under denna djupa kris har vi fått fler restauranger, kaféer och lunchställen i stället för färre. Det finns naturligtvis ett samband med sänkt restaurangmoms och lägre arbetsgivaravgifter för ungdomar, som jobbar i den här sektorn. Nu är vi inne på RUT igen. Å ena sidan säger finansministern att vi måste minska taket för RUT-avdraget, för vi behöver de pengarna i statsbudgeten. Å andra sidan säger hon att det är så få som använder RUT-avdraget ända upp till taket att det nästan inte är någon som drabbas av sänkningen. Hur kan det vara så att ingen drabbas samtidigt som det ger pengar till statskassan? ","M"
"Magdalena Andersson","Herr talman! Jag vill påminna Jan Ericson om att jag i förra interpellationsdebatten sa att halveringen av RUT inte ger särskilt mycket pengar till statskassan. Däremot handlar det om legitimiteten i skattesystemet. Där ställde Eva-Lena Jansson en relevant fråga till Erik Andersson: Hur många känner han som slår i taket för just RUT-avdraget? Han säger ju att det kommer att slå hårt och tar upp Gällivare och Jokkmokk som exempel. Jag undrar: Erik Andersson, känner du någon i Gällivare eller Jokkmokk som slår i taket för RUT-avdraget? Vi befinner oss tyvärr statsfinansiellt i ett sådant läge att det inte finns något utrymme för ofinansierade reformer. Samtidigt ser vi stora behov av att förbättra inte minst skolan och utbildningsmöjligheterna för våra barn och ungdomar. Eftersom det är ett akut behov, både för att ungdomarna ska få möjligheter i framtiden och för att våra företag ska kunna anställa, måste vi finansiera förbättrade utbildningsmöjligheter, göra läraryrket attraktivt och se till att alla skolor i hela Sverige är bra. Vi måste också se till att ungdomar får möjlighet att gå klart gymnasiet. Om man inte klarar det måste man få stöd senare i livet för att klara sin gymnasieutbildning, som är så viktig för att man ska kunna komma in på arbetsmarknaden. Vi tycker att det är viktigt att ungdomar inte går långtidsarbetslösa. Därför vill vi införa en 90-dagarsgaranti, så att ungdomar ska få jobba eller plugga senast 90 dagar efter att de har blivit arbetslösa. Vi tror inte att det är ett bra sätt att satsa på ungdomarna och Sveriges framtid att låta dem gå ut skolan utan godkända betyg, hoppa av gymnasiet utan gymnasieexamen och sedan gå långtidsarbetslösa. Här vill vi göra en rejäl investering i våra barn och ungdomar. För att vi ska klara detta när vi har stora underskott i statsfinanserna måste vi också finansiera de reformerna, och det gör vi genom att höja skatten. Vi har en rad förslag på skattehöjningar just för att kunna göra dessa viktiga framtidsinvesteringar. Jag skulle naturligtvis ha önskat att vi hade kunnat göra dem utan att höja skatten, men efter åtta år med borgerlig regering och historiska skattesänkningar är statsfinanserna nu i ett sådant skick att de viktiga framtidsinvesteringarna för våra barns och ungdomars skull kommer att kräva skattehöjningar. ","S"
