"Statsminister Stefan Löfven","Fru talman! Hans Wallmark har frågat mig om det säkerhetspolitiska rådet har påbörjat sitt arbete och, om så är fallet, hur ofta det har sammanträtt, vilka som har deltagit, vad som har avhandlats och vilka slutsatser som har dragits. Svaret på den första frågan är ja. Jag offentliggjorde planerna på att sammankalla ett säkerhetspolitiskt råd den 14 november, och sedan dess har rådet sammanträtt tre gånger, alltså i genomsnitt ungefär en gång i månaden. Svar på interpellationer Det säkerhetspolitiska rådet har inrättats för att regelbundet kunna diskutera en samordnad hantering av frågor som rör Sveriges säkerhet i bred bemärkelse. Jag har själv lett rådets samtliga möten, där även vice statsministern, utrikesministern, försvarsministern och inrikesministern har deltagit. Även andra statsråd har vid behov kunnat delta i rådets arbete, liksom vissa statssekreterare. Det gäller även företrädare för myndigheter som har vara direkt berörda och som fått göra föredragningar för rådet.  Det säkerhetspolitiska rådet är inte något beslutsorgan. Frågorna som diskuterats av rådet bereds vid behov vidare av ansvariga departement. Bland de frågor som diskuterats hittills i rådet har utvecklingen i Ukraina och Ryssland ägnats stor uppmärksamhet. Det gäller också insatser mot terrorism, både här hemma och internationellt. ","S"
"Hans Wallmark","Fru talman! Först vill jag tacka statsministern för att han personligen kommer hit och besvarar interpellationen. Det uppskattas. Jag tror dessutom att det är den första interpellation han besvarar som statsminister. Det är också glädjande, och jag hoppas att det blir en flitig vana för statsministern att besvara ledamöternas interpellationer. Jag ska säga att jag i grunden inte nödvändigtvis tycker att detta med ett säkerhetspolitiskt råd är en felaktig idé. Jag vill ha detta som ett grundackord. Men vad som sker stort sker uppenbarligen tyst i det här fallet. Därför vill jag när det gäller det säkerhetspolitiska rådet ta upp några frågor som vilar på mer konstitutionell grund och dessutom föra några säkerhetspolitiska resonemang. Tre gånger har rådet sammanträtt, säger statsministern. Då är det intressant att veta vad man har kommit fram till och hur vi som riksdag har möjlighet att granska och följa upp regeringens göranden och låtanden. Då är det intressant med frågor som protokoll, hur man har tecknat ned de slutsatser man har dragit och vilka som har deltagit i mötena. Statsministern anger i sitt svar här att det har varit vice statsministern, utrikesministern, försvarsministern och inrikesministern men även i förekommande fall statssekreterare och kanske myndighetschefer, eller i vart fall skulle de kunna bli involverade i rådet. Då vore det intressant att få veta vilka som har varit där, hur man kan följa upp det och framför allt se kopplingen mellan vad man har kommit fram till i rådet och eventuella beslut som sedan har fattats i efterhand. Därför blir också en direkt konkret fråga till Stefan Löfven: Ser man några faror med rådet, till exempel att man koncentrerar för mycket inflytande till en krets som man kanske inte ens har protokollförda möten med, alternativt att det också kan bli förseningar och fördröjningar till följd av rådet? Detta är den konstitutionella utgångspunkten för mina frågor till statsministern. Återigen vill jag betona att jag tror att det kan finnas fördelar med ett råd, men jag tror också att det finns faror och nackdelar, och därför tycker jag att det är angeläget att Stefan Löfven finns här i kammaren för att räta ut några av de frågetecknen.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Sedan finns det de säkerhetspolitiska resonemang som man kan föra utifrån detta. Det har varit tre möten. Statsministern anger att man bland annat har pratat om Ukraina och Ryssland och om den internationella terrorismen. Det är otroligt viktiga och angelägna frågor, och jag utgår från att det har varit långa och givande samtal om dem. När det gäller Ryssland finns det skäl att vara orolig för och djupt beklämd över den politiska utvecklingen i Ryska federationen. I dag, kanske just i denna stund, begravs Boris Nemtsov, en av de ledande oppositionspolitikerna. Han blev skjuten på öppen gata i skuggan av Kremls murar. Därför vore det intressant om statsministern kunde lätta lite grann på täcket om vad det säkerhetspolitiska rådet har pratat om när det gäller Ryssland och vilka slutsatser man har dragit. Det finns en hel del ledamöter i kammaren som sysslar med både försvars- och utrikespolitik, och det hade varit intressant att få reda på vilken analys man har gjort. När det gäller terrorism är ju hela Europa och världen i praktiken fångade av den senaste tidens händelser - de två allvarliga attentaten, först i Paris och sedan i Köpenhamn - som riktar sig både mot det fria ordet och mot judiska trosbekännare. Därför finns det skäl att också här fundera på vilka slutsatser man har dragit i det säkerhetspolitiska rådet. Avslutningsvis vill jag också ställa en konkret fråga. Det har ju varit en del diskussion om en flygövning med USA i Estland. Där har det förekommit lite olika uppgifter om vad regeringen har gjort, sagt eller tänkt. Då undrar jag bara: Har just den flygövningen också varit föremål för samtal i det säkerhetspolitiska rådet? ","M"
"Andreas Norlén","Fru talman! Även jag vill tacka statsministern för svaret på den här interpellationen. Som ordförande i riksdagens konstitutionsutskott vill jag anlägga ett par synpunkter av närmast konstitutionell natur. Den ena gäller förekomsten av dokumentation av det säkerhetspolitiska rådets arbete. Det vore värdefullt om statsministern kunde utveckla i vilken utsträckning som rådets verksamhet är föremål för dokumentation inom Regeringskansliet. Jag vill i det sammanhanget notera att konstitutionsutskottet vid ett antal tillfällen har betonat betydelsen av att man dokumenterar arbetet i Regeringskansliet på ett sådant sätt att det går att följa upp i efterhand vad som har varit föremål för åtgärder. Jag har här ett granskningsbetänkande från 2005-2006. Just det handlade om regeringens arbete med flodvågskatastrofen. Där skrev utskottet så här apropå den arbetsgrupp som fanns inom Regeringskansliet då, med statsråd som hanterade katastrofen: \"Härutöver konstaterar utskottet att det vid statsrådsgruppens möten inte fördes några minnesanteckningar, vilket var ett medvetet beslut mot bakgrund av att det inte skulle fattas några formliga beslut. (.) I en krissituation är hanteringen av krisen självklart överordnad andra arbetsuppgifter. Utskottet vill ändå framhålla att dokumentation även av möten av mer informell karaktär är värdefull dels internt, för att säkerställa att det inte uppstår osäkerhet om vad man kommit fram till och för att snabbt kunna vidareförmedla viktig information från mötet, dels för att i ett senare skede underlätta granskning av händelseförloppet.\" Konstitutionsutskottet har även i andra sammanhang kommit fram till denna slutsats: Det är viktigt med spårbarhet och dokumentation. Jag skulle därför vilja fråga statsministern hur det säkerhetspolitiska rådets arbete dokumenteras, så att konstitutionsutskottet eller andra aktörer i efterhand kan granska vad som har förekommit.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Sedan välkomnar jag, liksom Hans Wallmark, att statsministern har valt att besvara den här interpellationen. Det är utmärkt att statsministern kommer hit till kammaren och besvarar ledamöternas frågor. Konstitutionsutskottet har haft synpunkter även på detta och uttalat att det är väsentligt att det statsråd vars tjänsteutövning en interpellation angår också är det statsråd som besvarar interpellationen. Det gäller enligt KU självfallet också statsministern \"när frågan gäller övergripande överväganden för regeringens arbete\". Jag vill med anledning av det göra kammaren uppmärksam på att jag har ställt en interpellation till statsministern om regeringens respekt för riksdagens tillkännagivanden. Det är en än mer övergripande fråga för regeringens arbete, hur man allmänt i regeringen ser på riksdagens tillkännagivanden - än den om det säkerhetspolitiska rådet. Den här interpellationen har statsministern valt att låta justitieministern besvara på fredag. Jag skulle vilja fråga statsministern varför han har valt att besvara den mer nischade interpellationen om det säkerhetspolitiska rådet men inte min interpellation om regeringens respekt för riksdagens tillkännagivanden. Jag är här. Statsministern är här. Statsministern har en konstitutionell skyldighet att besvara ledamöternas frågor i den mån de rör övergripande regeringsfrågor. Det handlar inte för statsministern om att välja fritt vilka frågor han vill och inte vill diskutera. Statsministern hade mycket väl kunnat besvara även min interpellation i kammaren i dag. Jag undrar varför han inte gjorde det. ","M"
"Hillevi Larsson","Fru talman! Jag tycker att det är glädjande att statsministern är här i dag. Under de senaste åtta åren fick vi inte se så mycket av den förra statsministern i riksdagen. Jag tycker att det är föredömligt av Stefan Löfven att han kommer hit. Det här visar vikten av den fråga som har tagits upp. Det gäller det säkerhetspolitiska läget i Sverige och världen, kopplat till det säkerhetspolitiska rådet. Jag tycker att det är snabbt jobbat att det redan har varit tre sammanträden. Jag tycker inte att det viktigaste är protokoll och ordagrant allt som sägs på mötena. Det viktiga är resultatet, framför allt det långsiktiga resultatet. När tsunamin inträffade - det var ingenting som man kunde planera för; det var någonting extraordinärt - fanns det inte någonting sådant här. Det blev en förvirrad situation. Det var inte så konstigt, för det var en helt ny situation som uppkom under en tid på året då väldigt mycket verksamhet ligger nere. Men nu har vi ett råd som kan ta tag i de kända hot som vi ser omkring oss. Det kan också dyka upp nya hot, och då blir detta ett operativt organ som kan agera. I och med att det är den högsta politiska ledningen från regeringen har man befogenhet att faktiskt snabbt få resultat och samordna det som behöver samordnas i en krissituation. Jag tycker att det är väldigt positivt att det här har inrättats.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Vi har väldigt stora hot i vår omvärld - det kan man inte komma ifrån. Detta kommer alltså helt rätt i tiden. Här har nämnts terrorhot, krig och Ukraina-Ryssland-situationen. Men vi har också klimathotet, som i sig är ett stort säkerhetspolitiskt hot men som också kan leda till andra konflikter. Man kan se att det redan har lett till väpnade konflikter där man slåss om vattentillgångar, till exempel. Det här är stora frågor som vi måste förhålla oss till. När man tänker på säkerhetspolitik skulle jag önska att Sveriges roll inte enbart är att tänka på Sverige, även om det självklart är väldigt grundläggande och centralt. Jag önskar att vi också tänker i större banor. Hur kan vi samverka med andra för en säkrare värld? Det gynnar oss alla. Vi kan inte bara stänga dörren och känna oss trygga här, utan vi måste vända oss utåt. Där gör regeringen mycket. Vi samarbetar nära med Finland då vi ser ett säkerhetspolitiskt hot, till exempel från Ryssland. Stefan Löfven hade ett möte med Angela Merkel för inte så länge sedan. Vi kan se att vi lyfter stora och viktiga säkerhetspolitiska frågor även i det rummet. Det här blir mer ett operativt organ. Det är inget organ där man bjuder in internationella gäster, utan det sköts på andra sätt. Men jag tycker att det är väldigt bra att det har inrättats och att det redan har kommit till stånd ett antal möten. Jag ser fram emot det fortsatta arbetet. ","S"
"Statsminister Stefan Löfven","Fru talman! Först gäller det Hans Wallmarks uppföljande frågor. Det är inte ett beslutande organ. Det är det som är själva poängen. Det är regeringen som beslutar, precis som vanligt. Det här är ett beredande och koordinerande organ mellan de statsråd som förväntas ha mest inblandning i den här typen av frågor. Nej, jag ser ingen fara. Regeringens arbete ska beredas på olika sätt. Det här är ett sätt att göra det när det gäller just den här typen av frågor. Vi beslutar inte att detta och detta ska göras mer än att saker behöver beredas. Någonting behöver kanske tas tillbaka till rådet för fortsatt diskussion. Och när det väl ska beredas på riktigt inför beslut är det, som jag sa tidigare, ansvarigt departement som bereder det, precis enligt den ordning som finns i övrigt. Det är alltså helt öppet och i den meningen inget annorlunda än andra statsrådsgrupper. Sedan gäller det de olika säkerhetspolitiska perspektiven. Ja, det är precis det som jag tycker är viktigt: att vi har det breda perspektivet. Det här gäller det som rör rent försvar, det militära försvaret, av landets gränser. Men det gäller också miljöhot. Det nämndes när jag introducerade och berättade om det säkerhetspolitiska rådet. Det handlar om terrorism. Det handlar om it-säkerhet. Det är en mängd olika perspektiv där vi behöver fundera igenom vad vi ska göra för att ytterligare stärka landets säkerhet. Ryssland - ja, det är ingen tvekan om vad som har skett i Ukraina och vad som sker i Ukraina. Regeringen har varit tydlig inom ramen för EU-samordningen med att Ryssland har ett stort ansvar för det som sker. Ryssland stöder separatisterna och därmed den oro och det våld som har spridits i landet Ukraina. Vi står helt inom ramen för EU-samordningen där. Jag diskuterade saken förra veckan, som påpekades av Hillevi Larsson, med Angela Merkel. Det finns ingen skillnad i vår uppfattning i den delen.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer När det gäller terrorism är det precis samma sak. Det är klart att vi förhör oss om läget. Regeringen måste förhöra sig: Hur är läget exakt nu? Hur många har rest? Hur många har kommit tillbaka? Hur kan en möjlig förändrad hotbild se ut, om det finns någon sådan? Den typen av frågor behöver vi självfallet hålla oss väl informerade om. Flygövningen är icke diskuterad - det kan jag säga direkt - i det säkerhetspolitiska rådet. Andreas Norlén hade frågor om dokumentation. Det är samma sak där. Det är klart att vi för anteckningar om vi behöver göra någonting till nästa möte. Men det är inget beslutsorgan. Detta är ett koordinerande och beredande organ som vid behov ska ta förberedande arbete till det eller de departement som är berörda av ärendet. Den här interpellationen rör frågan om det säkerhetspolitiska rådet. Exakt vilka frågor som kan och inte kan komma att besvaras av statsministern måste vi få avgöra från fall till fall. Jag kommer såklart att visa så stor respekt som möjligt för kammaren. Det tycker jag är viktigt, och det tänker jag hålla i. Hillevi Larsson! Ja, vi menar just det: Det här gäller inte bara Sveriges säkerhet, utan det är faktiskt hela vårt närområdes säkerhet som måste diskuteras i förlängningen. Det är nämligen det som utgör basen för vår egen säkerhet. ","S"
"Hans Wallmark","Fru talman! Tack för svaren och synpunkterna, statsministern! Inledningsvis noterar jag att Hillevi Larsson, i den här talarstolen, fru talman, saknade den förra statsministern. Det gör jag också ibland. Där har vi en likartad uppfattning, om än kanske av lite olika skäl. Hillevi Larsson sa också, fru talman, att det här säkerhetsrådet skulle kunna bli inkallat när en försämrad säkerhetssituation inträffar. Sedan tolkar jag statsministerns rätt distinkta svar som att så inte är fallet. Det har ju inte en operativ uppgift, utan en koordinerande. Det är lite olikartade uppgifter, men jag tror att statsministern är den som är den korrekta uttolkaren. Det sas också här från talarstolen att det inte handlar om protokoll och sådant. Det kan man ju tycka. Nu är det här inte bara för formalismens egen skull, utan det handlar om spårbarheten så att vi ledamöter faktiskt kan utföra vår konstitutionella uppgift, som är att granska och följa regeringen. Det är alltså inte för att försvåra och förhindra, utan det handlar om att ha den spårbarheten så att vi förstår hur beslut växer fram men också om beslut på olika sätt kanske har försinkats eller på annat sätt försvårats därför att de på något sätt har tvingats ta omvägen via rådet. Nu tycker jag ändå att statsministern är tydlig, och det uppskattar jag. Jag vill återigen understryka att det är bra att statsministern är här i kammaren och besvarar denna interpellation och understryker att det handlar om den koordinerande uppgiften. Då är ett medskick, som det heter på modern svenska, till regeringschefen att det skulle underlätta för oss i kammaren att följa den koordinerande uppgiften som rådet har om man på något sätt kunde se spår i terrängen av vad rådet har gjort, vad man har sagt, vad man har diskuterat och eventuellt vilka slutsatser som man har dragit.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Tre möten har genomförts under statsministerns ledning. En fråga som man kan ställa till Stefan Löfven är då om det finns några goda och bra slutsatser som man kan dra av denna mötesform. Är det ett uppskattat sätt att ha den här typen av koordinerande samtal? Det var de konstitutionella frågorna. Jag återvänder till de säkerhetspolitiska resonemangen. Jag delar bedömningen av att det är viktigt att det är genom EU-koordinering vi hanterar den rätt allvarliga utmaning som Europa står inför efter Rysslands illegala annektering av Krim och fortsättningen av den frysta konflikt som vi nu är på väg att se i förhållandet mellan Ryssland och Ukraina. Jag tror också att det finns en säkerhetspolitisk ambition från Rysslands sida att försöka spetta sönder denna EU-samordning, och därför är det viktigt att alla länder samverkar till att behålla en EU28-distinkt linje gentemot Ryssland, allrahelst en dag som denna när Boris Nemtsov begravs. Jag har några frågor att avslutningsvis skicka med till statsministern. Den mycket goda idén om en Natoutredning, vill jag säga, skulle det kunna vara en fråga som kunde penetreras av det säkerhetspolitiska rådet? Finns det några tankar om att på något sätt involvera företrädare för oppositionen? I svaret framgår att det kan vara myndighetsföreträdare och statssekreterare, men finns det någon tanke på oppositionen? Tidigare har statsministern också talat om en säkerhetsstrategi och att det skulle inbjudas till samverkan mellan regeringssidan och oppositionen kring detta. Är det något som skulle kunna ske inom ramen för ett breddat säkerhetsråd? ","M"
"Andreas Norlén","Fru talman! Jag tolkar statsministerns svar som att det inte förekommer någon egentlig dokumentation av rådets arbete, vad som förekommer, vilka frågor som har diskuterats eller vad man i övrigt har kommit fram till. Jag vill därför påminna om att det citat som jag läste upp ur ett KU-betänkande är nio år gammalt, från våren 2006. Frågan man måste ställa sig är om den nuvarande regeringen inte har för avsikt att lära sig någonting av de erfarenheter som har dragits av tidigare regeringar och KU:s granskning av deras arbete. Slutsatsen som KU drog våren 2006, alltså för nio år sedan, var ju att dokumentation även av möten av mer informell karaktär är värdefull av ett antal olika skäl. Jag kan även citera ett annat KU-betänkande, från riksmötet 2012/13, där det står att \"dokumentation av kontakter är en nödvändig förutsättning för en efterföljande kontroll\". Det handlar alltså om informella kontakter. Jag vill därför uppmana statsministern att tänka om i det här avseendet och faktiskt följa de råd som konstitutionsutskottet har gett när det gäller dokumentation även av mer informella överläggningar. Jag noterar även att statsministern inte riktigt svarar på min fråga om varför han väljer att gå upp i den här debatten men väljer att inte svara på min interpellation. Jag vill betona att statsministern inte kan se ledamöternas interpellationer som ett smörgåsbord där han plockar de godsaker han vill. Det är naturligtvis mer statsmannamässigt att diskutera säkerhetspolitik än det tråkiga tragglandet med tillkännagivanden från en besvärlig riksdagsmajoritet, men icke desto mindre handlar det om övergripande frågor för regeringens arbete.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Därför skulle jag i all ödmjukhet vilja be statsministern att sluta plocka russinen ur den konstitutionella kakan och faktiskt svara på övergripande frågor vad gäller alla interpellationer. ","M"
"Hillevi Larsson","Fru talman! Jag vill förtydliga det jag sa: Jag saknar inte Reinfeldt som statsminister, men vi saknade honom i interpellationsdebatterna. Inte en enda gång under åtta år kom han hit. Där har Stefan Löfven visat framfötterna; det var ju inte så länge sedan valet. Om vi återgår till det säkerhetspolitiska rådet är det så att regeringens sammanträden inte är offentliga. Rådet består av delar av regeringen - statsministern, vice statsministern med flera - och därför är det kanske inte så konstigt om man inte kan läsa ordagrant vad som sägs där. Jag tror att det är bra att vi ändå har ett råd där man fokuserar på säkerhetspolitiken, och det är ju verkligen tunga ministrar som deltar. Det är utrikesministern, försvarsministern och så vidare. Det viktiga är vad som kommer ut av detta i förlängningen, och jag är helt övertygad om att det kommer att leda till ett väldigt väl förankrat säkerhetspolitiskt arbete både kortsiktigt och långsiktigt. Det har redan varit tre möten, och det visar att detta inte bara är någon tillfällig grej utan återkommande. Självklart involveras detta i regeringens arbete och övriga Myndighetssverige när det kommer till att eventuellt genomföra saker och ting. Jag kan därför inte förstå varför det här ses som ett hot. När det blir till reella beslut kommer vi ju alla att få veta det, och då är det den vanliga beslutsgången som gäller. Det nya med Stefan Löfven är att han blev ordförande i det säkerhetspolitiska rådet och även det innovationspolitiska rådet. Det är ett sätt att verkligen uppgradera viktiga områden. Men han kan förstås inte vara ordförande i allt. Han kan heller inte besvara alla interpellationer, men han visar en väldigt tydlig ambition på ett väldigt viktigt område. ","S"
"Statsminister Stefan Löfven","Fru talman! Jag vill börja med att säga att det är regeringen som beslutar, det är regeringen som drar de skarpa slutsatserna och det är självfallet också regeringen som är ansvarig för den dokumentation som kan göra att riksdagen kan följa regeringens arbete. Detta tänker regeringen göra. Det innebär i det här fallet att vi såklart för minnesanteckningar över vad vi har sagt för att vi ska komma ihåg vad vi tänkte diskutera vidare nästa gång. Det innebär däremot inte att vi på rådet fastslår viktiga slutsatser som är regeringsbeslut. Jag är väldigt noga med att dra den linjen. Hela regeringen är ansvarig för regeringens arbete, och då kan man inte begränsa regeringens befogenheter i den andra änden så att det bara är några som ska få göra detta. Detta är ett koordinerande och förberedande organ, och regeringen är överens om att det är bra om ett antal statsråd kan få ett mer fokuserat ansvar för att koordinera dessa ärenden. Men besluten ligger hos regeringen, och dokumentation ska självfallet ske på ett sådant sätt att regeringsbesluten kan granskas av riksdagen.  STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Det är viktigt att ha sagt detta. När det gäller en Natoutredning är det dubbelnej - jag är ledsen, Hans Wallmark. Det är enligt min uppfattning fel i sak, och det är definitivt inte en sak som ska behandlas av detta råd. Det här är, som jag sa, ett råd som ska förbereda lite. När det gäller inbjudan av oppositionen till ett sådant här råd sa jag till de övriga partiledarna i samband med ett möte som vi hade om ubåtsincidenterna i fjol att vi vill inleda en diskussion om en säkerhetspolitisk strategi när regeringen har kommit till det stadiet av arbetet. De andra partiledarna ska alltså bjudas in innan vi går vidare med ett sådant arbete, och det kommer att komma en sådan inbjudan. Jag kan inte säga när, men förberedelser pågår. När det gäller EU-samordningen och sådant som Hans Wallmark också tog upp delar jag helt den uppfattningen, och det har jag sagt tidigare. På det senaste Europeiska rådet tog jag själv upp att det nu är oerhört viktigt att vi håller ihop och dessutom förbereder oss inom ramen för EU så att vi både kan förlänga och utvidga sanktioner mot Ryssland om det skulle vara så att verkligheten kräver detta. Hittills har det varit så. Vi vet dock alla att inte alla nationer tycker att det är bäst att gå vidare med sanktioner. Regeringen vidhåller den synpunkten, och vi månar mycket om EU-samarbetet. Det var ett av skälen till att jag tyckte att det var viktigt att snabbt tacka ja till inbjudan från Angela Merkel, Tysklands förbundskansler. Tyskland är ett oerhört viktigt land i detta arbete, och Tyskland är en viktig strategisk partner för Sverige. Det är ett sätt att ställa upp för EU-samordningen och bidra så gott Sverige kan. ","S"
"Hans Wallmark","Fru talman och herr statsminister! Jag tror att vi kommer att ha anledning att återkomma till frågan om en Natoutredning. Vi kan därför lämna just den frågan för i dag.  Vi kan träta om exakt hur mycket och på vilka grunder vi saknar Fredrik Reinfeldt i riksdagens talarstol. Dock vill jag påminna kammarens ledamöter om att Fredrik Reinfeldt var som statsminister här och besvarade interpellationer. Det gör Stefan Löfven nu också, och det är första gången han är här. Även jag kommer att föra anteckningar om hur många gånger det blir totalt sett under den tid som Stefan Löfven är statsminister.  Låt oss återkomma till det säkerhetspolitiska rådet. Det har varit tre möten. Är det några slutsatser på rent praktisk organisatorisk grund som Stefan Löfven tycker att han kan dra efter de genomförda mötena? Det är glädjande att tanken på att bjuda in en större krets att föra samtal om en säkerhetsstrategi vidhålls. I det sammanhanget kan man påminna om att EU under året kommer att ta fram en säkerhetsstrategi och global strategi för EU. Jag vet att arbetet har påbörjats inom Utrikesdepartementet, och det var också föremål för försvarsministrarnas möte i Riga för några veckor sedan. Vi från kammarens sida kommer att följa och granska vad regeringen gör och Sveriges insatser när det gäller EU:s säkerhetsstrategi och globala strategi. Ett område som jag tycker att man kan ta upp i det säkerhetspolitiska rådet när både statsministern och vice statsministern har möjlighet att träffa varandra är synen på till exempel flygövningar. Det har framkommit att å ena sidan Miljöpartiet har varit kritiskt till att ha flygövningar med USA och i viss mån Nato, men framför allt specifikt med USA, där å andra sidan Socialdemokraterna har varit glädjande tydliga, nämligen att det ingår som ett led i Sveriges försvars- och säkerhetspolitiska överväganden att också träna och öva med andra länder, inte minst Nato och USA. Det är en intressant skillnad. Det är en fråga som skulle kunna penetreras av det säkerhetspolitiska rådet. ","M"
"Statsminister Stefan Löfven"," STYLEREF Kantrubrik \\* MERGEFORMAT Svar på interpellationer Fru talman! Jag tänker inte lägga mig i diskussionen om förre statsministerns göranden och låtanden i denna kammare. Det får Wallmark och Larsson klara ut. Har vi dragit några slutsatser? Vi informerar oss om till exempel terrorism och situationen på marken i Ukraina. Varje statsråd kan sedan utifrån respektive ansvarsområde förbereda eventuella regeringsbeslut. Vi stöder självfallet den säkerhetspolitiska strategin för EU. Det är viktigt att det finns ett svenskt perspektiv och ett vidare perspektiv där Östersjön, Norden, Baltikum och EU ingår samt ett globalt perspektiv. Alla de perspektiven måste vara med i det säkerhetspolitiska tänket. Med all respekt för Hans Wallmark tänker jag själv besluta om vilka frågor som ska tas upp i rådet. Vilka frågor som ska tas upp kommer inte att vara till allmän diskussion i parlamentet. Det gäller inte heller flygövningar. Det måste finnas en ordning där regeringen kan koordinera, förbereda och bereda eventuella beslut på det sätt regeringen har att göra sådant. Regeringen har sedan ett ansvar för att visa hur arbetet har gått till, och dokumentationen ska ske på ett korrekt sätt. I övrigt förbehåller vi oss rätten att själva avgöra vilka frågor som behöver diskuteras där. ","S"
